OrderID,OrderDate,ShipDate,ShipMode,CustomerID,ProductID,OrderCostPrice,OrderSellingPrice
1,2021/11/08,2021/11/11,Second Class,CG-12520,FUR-BO-10001798,157,262
2,2021/11/08,2021/11/11,Second Class,CG-12520,FUR-CH-10000454,366,732
3,2021/06/12,2021/06/16,Second Class,DV-13045,OFF-LA-10000240,13,15
4,2020/10/11,2020/10/18,Standard Class,SO-20335,FUR-TA-10000577,575,958
5,2020/10/11,2020/10/18,Standard Class,SO-20335,OFF-ST-10000760,13,22
6,2019/06/09,2019/06/14,Standard Class,BH-11710,FUR-FU-10001487,24,49
7,2019/06/09,2019/06/14,Standard Class,BH-11710,OFF-AR-10002833,5,7
8,2019/06/09,2019/06/14,Standard Class,BH-11710,TEC-PH-10002275,544,907
9,2019/06/09,2019/06/14,Standard Class,BH-11710,OFF-BI-10003910,17,19
10,2019/06/09,2019/06/14,Standard Class,BH-11710,OFF-AP-10002892,103,115
11,2019/06/09,2019/06/14,Standard Class,BH-11710,FUR-TA-10001539,1024,1706
12,2019/06/09,2019/06/14,Standard Class,BH-11710,TEC-PH-10002033,729,911
13,2022/04/15,2022/04/20,Standard Class,AA-10480,OFF-PA-10002365,11,16
14,2021/12/05,2021/12/10,Standard Class,IM-15070,OFF-BI-10003656,286,408
15,2020/11/22,2020/11/26,Standard Class,HP-14815,OFF-AP-10002311,55,69
16,2020/11/22,2020/11/26,Standard Class,HP-14815,OFF-BI-10000756,2,3
17,2019/11/11,2019/11/18,Standard Class,PK-19075,OFF-ST-10004186,333,666
18,2019/05/13,2019/05/15,Second Class,AG-10270,OFF-ST-10000107,44,56
19,2019/08/27,2019/09/01,Second Class,ZD-21925,OFF-AR-10003056,7,9
20,2019/08/27,2019/09/01,Second Class,ZD-21925,TEC-PH-10001949,107,213
21,2019/08/27,2019/09/01,Second Class,ZD-21925,OFF-BI-10002215,11,23
22,2021/12/09,2021/12/13,Standard Class,KB-16585,OFF-AR-10000246,12,19
